sample,norm
1000,8.18535277187245
2000,6.164414002968976
3000,6.164414002968976
4000,5.477225575051661
5000,5.656854249492381
6000,4.69041575982343
7000,5.656854249492381
8000,3.3166247903554
9000,3.7416573867739413
10000,3.872983346207417
11000,2.449489742783178
12000,4.123105625617661
13000,3.1622776601683795
14000,2.23606797749979
15000,1.0
16000,2.23606797749979
17000,3.4641016151377544
18000,3.3166247903554
19000,3.1622776601683795
20000,2.0
21000,1.7320508075688772
22000,0.0
23000,2.6457513110645907
24000,1.0
25000,1.0
26000,3.4641016151377544
27000,0.0
28000,2.449489742783178
29000,2.449489742783178
30000,3.872983346207417
31000,3.1622776601683795
32000,2.8284271247461903
33000,2.8284271247461903
34000,3.3166247903554
35000,2.23606797749979
36000,3.872983346207417
37000,2.0
38000,3.1622776601683795
39000,4.0
40000,3.4641016151377544
41000,0.0
42000,2.0
43000,1.0
44000,2.8284271247461903
45000,1.4142135623730951
46000,3.0
47000,1.4142135623730951
48000,1.0
49000,0.0
50000,3.872983346207417
51000,2.6457513110645907
52000,2.8284271247461903
53000,3.7416573867739413
54000,3.0
55000,0.0
56000,2.6457513110645907
57000,1.4142135623730951
58000,2.6457513110645907
59000,0.0
60000,0.0
61000,2.8284271247461903
62000,1.0
63000,0.0
64000,0.0
65000,0.0
66000,0.0
67000,0.0
68000,0.0
69000,0.0
70000,0.0
71000,0.0
72000,0.0
73000,0.0
74000,0.0
75000,0.0
76000,2.0
77000,0.0
78000,0.0
79000,0.0
80000,0.0
81000,2.8284271247461903
82000,0.0
83000,2.8284271247461903
84000,0.0
85000,1.7320508075688772
86000,1.7320508075688772
87000,0.0
88000,0.0
89000,0.0
90000,1.7320508075688772
91000,1.7320508075688772
92000,2.0
93000,1.0
94000,1.7320508075688772
95000,0.0
96000,1.0
97000,0.0
98000,0.0
99000,0.0
100000,0.0
