sample,norm
1000,16.76305461424021
2000,16.0312195418814
3000,13.711309200802088
4000,13.96424004376894
5000,12.84523257866513
6000,10.677078252031311
7000,10.295630140987
8000,11.445523142259598
9000,11.269427669584644
10000,9.797958971132712
11000,9.695359714832659
12000,8.602325267042627
13000,9.055385138137417
14000,8.246211251235321
15000,8.12403840463596
16000,8.18535277187245
17000,8.366600265340756
18000,6.324555320336759
19000,6.782329983125268
20000,7.483314773547883
21000,8.0
22000,7.0
23000,7.615773105863909
24000,6.855654600401044
25000,8.426149773176359
26000,7.280109889280518
27000,5.830951894845301
28000,5.744562646538029
29000,4.795831523312719
30000,5.385164807134504
31000,5.196152422706632
32000,6.082762530298219
33000,4.58257569495584
34000,4.47213595499958
35000,5.0
36000,5.5677643628300215
37000,3.1622776601683795
38000,5.656854249492381
39000,3.872983346207417
40000,4.795831523312719
41000,5.744562646538029
42000,5.0990195135927845
43000,5.656854249492381
44000,5.291502622129181
45000,5.0
46000,3.605551275463989
47000,5.291502622129181
48000,4.358898943540674
49000,5.0
50000,3.4641016151377544
51000,3.605551275463989
52000,3.1622776601683795
53000,3.7416573867739413
54000,2.449489742783178
55000,2.6457513110645907
56000,4.58257569495584
57000,3.1622776601683795
58000,3.605551275463989
59000,3.872983346207417
60000,3.872983346207417
61000,3.605551275463989
62000,3.7416573867739413
63000,4.242640687119285
64000,2.8284271247461903
65000,4.69041575982343
66000,4.358898943540674
67000,4.47213595499958
68000,3.3166247903554
69000,1.0
70000,2.23606797749979
71000,4.358898943540674
72000,3.4641016151377544
73000,2.6457513110645907
74000,3.1622776601683795
75000,1.4142135623730951
76000,4.795831523312719
77000,3.7416573867739413
78000,2.6457513110645907
79000,3.7416573867739413
80000,2.8284271247461903
81000,2.8284271247461903
82000,2.8284271247461903
83000,4.358898943540674
84000,2.8284271247461903
85000,5.5677643628300215
86000,0.0
87000,3.3166247903554
88000,3.605551275463989
89000,4.0
90000,3.4641016151377544
91000,3.4641016151377544
92000,4.795831523312719
93000,0.0
94000,3.0
95000,3.0
96000,2.449489742783178
97000,1.7320508075688772
98000,2.0
99000,2.449489742783178
100000,2.0
