sample,norm
1000,22.15851980616034
2000,21.79449471770337
3000,19.261360284258224
4000,17.029386365926403
5000,16.0312195418814
6000,14.7648230602334
7000,15.0996688705415
8000,13.19090595827292
9000,14.035668847618199
10000,12.041594578792296
11000,12.083045973594572
12000,12.0
13000,11.135528725660043
14000,10.816653826391969
15000,10.099504938362077
16000,11.40175425099138
17000,10.488088481701515
18000,11.704699910719626
19000,9.38083151964686
20000,10.246950765959598
21000,9.219544457292887
22000,8.246211251235321
23000,9.433981132056603
24000,9.219544457292887
25000,7.681145747868608
26000,9.539392014169456
27000,8.12403840463596
28000,8.94427190999916
29000,8.831760866327848
30000,7.937253933193772
31000,8.660254037844387
32000,8.12403840463596
33000,7.280109889280518
34000,7.681145747868608
35000,8.18535277187245
36000,9.797958971132712
37000,7.937253933193772
38000,7.874007874011811
39000,7.54983443527075
40000,8.660254037844387
41000,6.0
42000,7.280109889280518
43000,7.280109889280518
44000,7.14142842854285
45000,6.557438524302
46000,7.681145747868608
47000,6.782329983125268
48000,6.6332495807108
49000,7.745966692414834
50000,8.48528137423857
51000,7.3484692283495345
52000,8.717797887081348
53000,7.3484692283495345
54000,7.211102550927978
55000,6.4031242374328485
56000,5.744562646538029
57000,7.280109889280518
58000,7.874007874011811
59000,6.6332495807108
60000,6.244997998398398
61000,6.4031242374328485
62000,6.557438524302
63000,8.660254037844387
64000,4.47213595499958
65000,6.0
66000,6.782329983125268
67000,6.4031242374328485
68000,6.48074069840786
69000,5.916079783099616
70000,6.244997998398398
71000,6.4031242374328485
72000,5.744562646538029
73000,5.916079783099616
74000,6.244997998398398
75000,5.744562646538029
76000,5.656854249492381
77000,5.830951894845301
78000,6.782329983125268
79000,3.605551275463989
80000,4.898979485566356
81000,5.196152422706632
82000,5.0
83000,5.916079783099616
84000,4.123105625617661
85000,5.291502622129181
86000,6.0
87000,5.830951894845301
88000,4.58257569495584
89000,4.898979485566356
90000,4.358898943540674
91000,4.242640687119285
92000,5.656854249492381
93000,4.0
94000,5.385164807134504
95000,4.58257569495584
96000,4.58257569495584
97000,4.123105625617661
98000,4.69041575982343
99000,4.69041575982343
100000,5.0
