sample,norm
1000,6.324555320336759
2000,5.830951894845301
3000,3.605551275463989
4000,4.795831523312719
5000,3.0
6000,4.123105625617661
7000,2.8284271247461903
8000,1.0
9000,3.605551275463989
10000,3.4641016151377544
11000,2.23606797749979
12000,3.4641016151377544
13000,2.6457513110645907
14000,4.123105625617661
15000,2.23606797749979
16000,2.449489742783178
17000,3.7416573867739413
18000,1.7320508075688772
19000,2.8284271247461903
20000,3.0
21000,3.0
22000,2.8284271247461903
23000,2.23606797749979
24000,0.0
25000,2.6457513110645907
26000,3.0
27000,0.0
28000,2.8284271247461903
29000,1.7320508075688772
30000,2.449489742783178
31000,2.449489742783178
32000,3.1622776601683795
33000,3.605551275463989
34000,2.449489742783178
35000,1.7320508075688772
36000,0.0
37000,2.449489742783178
38000,1.7320508075688772
39000,2.23606797749979
40000,2.23606797749979
41000,2.0
42000,1.4142135623730951
43000,1.0
44000,1.4142135623730951
45000,0.0
46000,2.0
47000,2.23606797749979
48000,1.0
49000,1.7320508075688772
50000,1.0
51000,2.23606797749979
52000,0.0
53000,2.23606797749979
54000,2.0
55000,0.0
56000,2.23606797749979
57000,2.0
58000,2.449489742783178
59000,2.8284271247461903
60000,2.23606797749979
61000,2.449489742783178
62000,1.4142135623730951
63000,0.0
64000,0.0
65000,2.6457513110645907
66000,3.1622776601683795
67000,2.6457513110645907
68000,1.4142135623730951
69000,1.7320508075688772
70000,2.449489742783178
71000,3.0
72000,2.8284271247461903
73000,1.7320508075688772
74000,0.0
75000,2.23606797749979
76000,0.0
77000,1.0
78000,2.449489742783178
79000,0.0
80000,0.0
81000,1.0
82000,0.0
83000,2.6457513110645907
84000,0.0
85000,0.0
86000,3.1622776601683795
87000,2.23606797749979
88000,0.0
89000,0.0
90000,1.4142135623730951
91000,2.0
92000,1.4142135623730951
93000,0.0
94000,0.0
95000,1.4142135623730951
96000,1.0
97000,0.0
98000,0.0
99000,0.0
100000,1.4142135623730951
